district,year,index,min,max,mean,count,std,median
DEHRADUN,2016,NDVI,-0.11666666716337204,0.7972602844238281,0.5195881558611557,5390413,0.11366859634408678,0.5483871102333069
HARIDWAR,2016,NDVI,-0.13600000739097595,0.7184750437736511,0.4488352236850513,3975098,0.11241608473704208,0.46859902143478394
PAURI GARHWAL,2016,NDVI,-0.11666666716337204,0.7716535329818726,0.5391458015494386,9171967,0.09348051709762722,0.5567010045051575
DEHRADUN,2016,NDWI,-0.6734693646430969,0.2933333218097687,-0.3924590750282029,5390413,0.09360074012152977,-0.4124293923377991
HARIDWAR,2016,NDWI,-0.5837838053703308,0.2800000011920929,-0.337197850216523,3975098,0.08517502103206781,-0.3469387888908386
PAURI GARHWAL,2016,NDWI,-0.6676384806632996,0.2933333218097687,-0.40477219880969917,9171967,0.09388525590315243,-0.4193548262119293
DEHRADUN,2016,NDBI,-0.5063291192054749,0.27173912525177,-0.16754311079689072,5390413,0.10175905281333329,-0.17966102063655853
HARIDWAR,2016,NDBI,-0.5283018946647644,0.31877729296684265,-0.14394596372215226,3975098,0.09281961868689877,-0.15789473056793213
PAURI GARHWAL,2016,NDBI,-0.4747474789619446,0.24137930572032928,-0.19486855981928414,9171967,0.0855124849926931,-0.2117263823747635
DEHRADUN,2022,NDVI,-0.3852140009403229,0.8163672685623169,0.5562338094075551,5390476,0.12093862270391313,0.5870967507362366
HARIDWAR,2022,NDVI,-0.31506848335266113,0.7719869613647461,0.48097060921169643,3975055,0.1324112500580047,0.5090909004211426
PAURI GARHWAL,2022,NDVI,-0.22535210847854614,0.7731958627700806,0.5338212752670003,9171993,0.10926860486029898,0.5564516186714172
DEHRADUN,2022,NDWI,-0.7574552893638611,0.43772241473197937,-0.42306115452512916,5390476,0.10847257728972311,-0.4480000138282776
HARIDWAR,2022,NDWI,-0.6310679316520691,0.3709677457809448,-0.3677863262269327,3975055,0.10733579452774883,-0.3858921229839325
PAURI GARHWAL,2022,NDWI,-0.6699029207229614,0.3057851195335388,-0.39963179213067435,9171993,0.12180958054198307,-0.42990654706954956
DEHRADUN,2022,NDBI,-0.5782747864723206,0.3193717300891876,-0.24947031579400408,5390476,0.10171027861389523,-0.2635135054588318
HARIDWAR,2022,NDBI,-0.5714285969734192,0.19889502227306366,-0.18189226312591902,3975055,0.10271679734762006,-0.19391635060310364
PAURI GARHWAL,2022,NDBI,-0.5432098507881165,0.2776618003845215,-0.2434550484284059,9171993,0.09665384791112282,-0.2631579041481018
DEHRADUN,2025,NDVI,-0.1960396021604538,0.748344361782074,0.42742910326900596,5390446,0.11471234280987483,0.449438214302063
HARIDWAR,2025,NDVI,-0.10000000149011612,0.6651583909988403,0.3685530425651705,3975034,0.10123407142393859,0.3642384111881256
PAURI GARHWAL,2025,NDVI,-0.1265822798013687,0.7352941036224365,0.45990441993215,9171996,0.10293578930066596,0.4728682041168213
DEHRADUN,2025,NDWI,-0.6474359035491943,0.26213592290878296,-0.30335699494995405,5390446,0.11457661803843702,-0.3290322721004486
HARIDWAR,2025,NDWI,-0.552742600440979,0.26050421595573425,-0.2545816589241752,3975034,0.08139925475588983,-0.24719101190567017
PAURI GARHWAL,2025,NDWI,-0.6219931244850159,0.23999999463558197,-0.3229741105425689,9171996,0.11891252667867103,-0.34210526943206787
DEHRADUN,2025,NDBI,-0.5185185074806213,0.2888889014720917,-0.17165694638254422,5390446,0.10841917627049578,-0.18974359333515167
HARIDWAR,2025,NDBI,-0.5333333611488342,0.2291666716337204,-0.11420028105419978,3975034,0.10049432610723538,-0.10552763938903809
PAURI GARHWAL,2025,NDBI,-0.5286624431610107,0.26203209161758423,-0.21496267006658093,9171996,0.09574602984472223,-0.23931623995304108
